id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_investasi,satuan,tahun
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,20026928000,RUPIAH,2009
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0,RUPIAH,2009
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,RUPIAH,2009
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,241436960000,RUPIAH,2009
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,6937079090500,RUPIAH,2009
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,3212020449127,RUPIAH,2009
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,7869195492667,RUPIAH,2009
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,11500000000,RUPIAH,2009
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,RUPIAH,2009
73,32,JAWA BARAT,3271,KOTA BOGOR,14808167200,RUPIAH,2009
74,32,JAWA BARAT,3272,KOTA SUKABUMI,0,RUPIAH,2009
75,32,JAWA BARAT,3273,KOTA BANDUNG,168384928000,RUPIAH,2009
76,32,JAWA BARAT,3274,KOTA CIREBON,0,RUPIAH,2009
77,32,JAWA BARAT,3275,KOTA BEKASI,512333495500,RUPIAH,2009
78,32,JAWA BARAT,3276,KOTA DEPOK,236198459865,RUPIAH,2009
79,32,JAWA BARAT,3277,KOTA CIMAHI,46873425000,RUPIAH,2009
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,RUPIAH,2009
81,32,JAWA BARAT,3279,KOTA BANJAR,0,RUPIAH,2009
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,2288003957073,RUPIAH,2010
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,109333558000,RUPIAH,2010
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,54418000,RUPIAH,2010
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,568786077046,RUPIAH,2010
86,32,JAWA BARAT,3205,KABUPATEN GARUT,27209000,RUPIAH,2010
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1500000000,RUPIAH,2010
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,RUPIAH,2010
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,54418000,RUPIAH,2010
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,3950817471753,RUPIAH,2010
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,259225631753,RUPIAH,2010
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,47916000000,RUPIAH,2010
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,259225631753,RUPIAH,2010
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,367097411753,RUPIAH,2010
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,2385161331241,RUPIAH,2010
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,3862316342900,RUPIAH,2010
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,11778250079859,RUPIAH,2010
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,33108002444,RUPIAH,2010
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,RUPIAH,2010
100,32,JAWA BARAT,3271,KOTA BOGOR,163747209000,RUPIAH,2010
101,32,JAWA BARAT,3272,KOTA SUKABUMI,5626920000,RUPIAH,2010
102,32,JAWA BARAT,3273,KOTA BANDUNG,855457502923,RUPIAH,2010
103,32,JAWA BARAT,3274,KOTA CIREBON,62500000000,RUPIAH,2010
104,32,JAWA BARAT,3275,KOTA BEKASI,72303578190,RUPIAH,2010
105,32,JAWA BARAT,3276,KOTA DEPOK,844332007600,RUPIAH,2010
106,32,JAWA BARAT,3277,KOTA CIMAHI,27227611400,RUPIAH,2010
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,RUPIAH,2010
108,32,JAWA BARAT,3279,KOTA BANJAR,0,RUPIAH,2010
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,2031606377939,RUPIAH,2011
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,362962787078,RUPIAH,2011
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,150400000000,RUPIAH,2011
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,215010559614,RUPIAH,2011
113,32,JAWA BARAT,3205,KABUPATEN GARUT,200000000,RUPIAH,2011
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0,RUPIAH,2011
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,RUPIAH,2011
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,3069000000,RUPIAH,2011
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,6988333381345,RUPIAH,2011
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,16308598805,RUPIAH,2011
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,6400941456,RUPIAH,2011
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,16308598805,RUPIAH,2011
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,47658898805,RUPIAH,2011
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1267366180661,RUPIAH,2011
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,5237704216736,RUPIAH,2011
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,10626990080406,RUPIAH,2011
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,75712770663,RUPIAH,2011
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,RUPIAH,2011
127,32,JAWA BARAT,3271,KOTA BOGOR,304318852400,RUPIAH,2011
128,32,JAWA BARAT,3272,KOTA SUKABUMI,0,RUPIAH,2011
129,32,JAWA BARAT,3273,KOTA BANDUNG,9016289000990,RUPIAH,2011
130,32,JAWA BARAT,3274,KOTA CIREBON,281764086200,RUPIAH,2011
131,32,JAWA BARAT,3275,KOTA BEKASI,84570704102,RUPIAH,2011
132,32,JAWA BARAT,3276,KOTA DEPOK,4647097146960,RUPIAH,2011
133,32,JAWA BARAT,3277,KOTA CIMAHI,58350528200,RUPIAH,2011
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,RUPIAH,2011
135,32,JAWA BARAT,3279,KOTA BANJAR,7207807525,RUPIAH,2011
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,1561132942335,RUPIAH,2012
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,827117204655,RUPIAH,2012
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,107856000000,RUPIAH,2012
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,980943376551,RUPIAH,2012
140,32,JAWA BARAT,3205,KABUPATEN GARUT,0,RUPIAH,2012
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0,RUPIAH,2012
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,RUPIAH,2012
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,36640000000,RUPIAH,2012
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,561909639833,RUPIAH,2012
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0,RUPIAH,2012
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,156166218215,RUPIAH,2012
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,115459500000,RUPIAH,2012
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,427334990700,RUPIAH,2012
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,3686512847698,RUPIAH,2012
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,8408696270742,RUPIAH,2012
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,15241038566788,RUPIAH,2012
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,420585216068,RUPIAH,2012
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,RUPIAH,2012
154,32,JAWA BARAT,3271,KOTA BOGOR,824335104700,RUPIAH,2012
155,32,JAWA BARAT,3272,KOTA SUKABUMI,13333591980,RUPIAH,2012
156,32,JAWA BARAT,3273,KOTA BANDUNG,624103940700,RUPIAH,2012
157,32,JAWA BARAT,3274,KOTA CIREBON,59234855000,RUPIAH,2012
158,32,JAWA BARAT,3275,KOTA BEKASI,452438836481,RUPIAH,2012
159,32,JAWA BARAT,3276,KOTA DEPOK,1948200041190,RUPIAH,2012
