id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,pendidikan,jumlah_pengangguran,satuan,tahun
26,32,JAWA BARAT,3209,KABUPATEN CIREBON,SLTP,27572,ORANG,2011
27,32,JAWA BARAT,3209,KABUPATEN CIREBON,SLTA,26972,ORANG,2011
28,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SD KE BAWAH,9817,ORANG,2011
29,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SLTP,13039,ORANG,2011
30,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SLTA,18587,ORANG,2011
31,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SD KE BAWAH,9745,ORANG,2011
32,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SLTP,10249,ORANG,2011
33,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SLTA,19961,ORANG,2011
34,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SD KE BAWAH,34178,ORANG,2011
35,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SLTP,15042,ORANG,2011
36,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SLTA,29798,ORANG,2011
37,32,JAWA BARAT,3213,KABUPATEN SUBANG,SD KE BAWAH,19736,ORANG,2011
38,32,JAWA BARAT,3213,KABUPATEN SUBANG,SLTP,29736,ORANG,2011
39,32,JAWA BARAT,3213,KABUPATEN SUBANG,SLTA,12984,ORANG,2011
40,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SD KE BAWAH,13156,ORANG,2011
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SLTP,9161,ORANG,2011
42,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SLTA,13340,ORANG,2011
43,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SD KE BAWAH,48081,ORANG,2011
44,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SLTP,28414,ORANG,2011
45,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SLTA,21925,ORANG,2011
46,32,JAWA BARAT,3216,KABUPATEN BEKASI,SD KE BAWAH,51362,ORANG,2011
47,32,JAWA BARAT,3216,KABUPATEN BEKASI,SLTP,24957,ORANG,2011
48,32,JAWA BARAT,3216,KABUPATEN BEKASI,SLTA,46710,ORANG,2011
49,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SD KE BAWAH,22902,ORANG,2011
50,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SLTP,17508,ORANG,2011
51,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SLTA,21458,ORANG,2011
52,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SD KE BAWAH,0,ORANG,2011
53,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SLTP,0,ORANG,2011
54,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SLTA,0,ORANG,2011
55,32,JAWA BARAT,3271,KOTA BOGOR,SD KE BAWAH,6789,ORANG,2011
56,32,JAWA BARAT,3271,KOTA BOGOR,SLTP,11132,ORANG,2011
57,32,JAWA BARAT,3271,KOTA BOGOR,SLTA,27064,ORANG,2011
58,32,JAWA BARAT,3272,KOTA SUKABUMI,SD KE BAWAH,4263,ORANG,2011
59,32,JAWA BARAT,3272,KOTA SUKABUMI,SLTP,3507,ORANG,2011
60,32,JAWA BARAT,3272,KOTA SUKABUMI,SLTA,5691,ORANG,2011
61,32,JAWA BARAT,3273,KOTA BANDUNG,SD KE BAWAH,23280,ORANG,2011
